TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Rider,MAAC,0.6764705882352942,106.2,102.5,.5995,54.8,49.1,20,19.8,34.5,30.7,38.2,30.6,52.8,47.5,39.6,34.4,70.5,-4.5,2008
Indiana_St_,MVC,0.5,103.9,100.4,.5986,47.6,51.2,19.9,21.7,30.9,33.4,36.6,41.2,46.9,50.5,32.4,35.1,66.1,-5.6,2008
Iowa,B10,0.40625,97.0,93.7,.5981,50,46.4,26.1,19.1,29.7,29,36,30.3,48.3,44.5,34.7,33.2,61.1,-7.5,2008
North_Dakota_St_,Sum,0.5925925925925926,104.9,101.4,.5980,51.9,49.4,20,18.6,33.6,28,40.1,36.7,48.9,48,39.4,35.8,69,-7.4,2008
Marshall,CUSA,0.5714285714285714,105.1,101.6,.5976,47.1,50.9,20,21.8,37.1,33,43.5,38.9,47.2,49.6,31.3,35.6,64.7,-6.4,2008
Cornell,Ivy,0.8148148148148148,107.4,103.8,.5973,55.4,49.1,19.9,20.9,28.6,31.3,33.8,34.6,52.5,46.3,40.4,36.5,69.8,-1.2,2008
UC_Santa_Barbara,BW,0.7419354838709677,99.5,96.1,.5963,52,49.8,21,26.8,27.6,33.8,34.6,42.2,47.3,51.5,40.7,31.3,67.1,-2.6,2008
Boise_St_,WAC,0.7575757575757576,105.8,102.4,.5930,57.1,50.3,21.2,19.5,30.4,29.4,39.7,33.6,56.2,49.1,39.2,35.2,72.9,-2.4,2008
Robert_Morris,NEC,0.7647058823529411,101.5,98.9,.5742,53,50,23.3,26.1,35.2,31.8,27.7,39.1,51.2,52,37.5,31.2,70.7,-3,2008
Cal_St__Northridge,BW,0.6896551724137931,100.2,97.6,.5731,52.2,47.8,21.5,24.5,31.8,31.5,32.6,51.1,50.3,48.8,37.3,30.8,74.1,-4.7,2008
Georgia_Southern,SC,0.6666666666666666,104.0,101.4,.5715,49.9,50.3,19.9,22.2,37.1,33,34.3,41.2,49.1,48.7,34.5,35.5,70.6,-5.4,2008
Sam_Houston_St_,Slnd,0.8518518518518519,95.5,93.1,.5713,47.7,44.4,22.7,22.6,33.9,27.9,39,38,48.1,43.3,31.3,31.3,68.8,-4.3,2008
St__John_s,BE,0.36666666666666664,96.3,93.9,.5697,45.8,49.5,22.9,21.5,32.7,30.6,35,40.3,44.1,48.6,33.3,34.3,66.1,-7,2008
UMBC,AE,0.75,110.2,107.7,.5666,51.9,50.8,13.6,17.7,31.8,33.6,33.5,28.4,49,49,38.4,36.1,66,-3,2008
Air_Force,MWC,0.5714285714285714,98.7,96.5,.5644,52.1,48.7,21.5,23,19.4,30.5,45.5,35.4,48.7,44.4,37.5,36.1,58.5,-6.2,2008
La_Salle,A10,0.4838709677419355,106.5,104.3,.5612,51.1,51.9,22.5,19.4,36,31.1,37.3,33.5,46.7,51.8,39.6,34.7,70.6,-8.2,2008
Richmond,A10,0.5161290322580645,99.3,97.2,.5612,50.6,50.6,21.8,25.3,25.8,34,30.1,45.2,49.1,50.3,35.2,34.2,64.2,-5.5,2008
Brown,Ivy,0.6551724137931034,106.1,103.9,.5600,55.8,51.2,20.5,20.2,24.3,30.3,47.1,25.9,52.1,49.9,40.8,35.5,63.1,-4.3,2008
Wichita_St_,MVC,0.3548387096774194,102.8,100.9,.5528,47.3,50.6,22.7,19,37.3,27,37.2,35.8,47.9,45.6,30.8,39,62.6,-10.9,2008
Green_Bay,Horz,0.5,105.1,103.2,.5515,51.1,50.2,20.3,19.6,31.5,34.4,35.5,36.6,49.6,48.4,36.7,35.5,67.4,-6.5,2008
Oakland,Sum,0.5517241379310345,109.9,107.9,.5506,49.2,53.9,19.4,21,41.3,35.2,41.4,34.8,47.2,52.3,36,38.1,69.3,-7.4,2008
Belmont,ASun,0.7575757575757576,105.7,103.9,.5487,53.2,51.9,20.4,22.4,33.5,30.5,33.8,35.6,52.1,51.9,36.3,34.6,71.2,-3.5,2008
Niagara,MAAC,0.6551724137931034,104.9,103.2,.5482,47,48.7,18.2,21.3,36.9,36.6,44.7,35.7,46.5,48.7,31.8,32.4,71.2,-5.1,2008
Pacific,BW,0.7,105.2,103.6,.5449,56.1,50.3,22.6,20.1,32.2,27.8,44,36.8,53.8,48.5,40,35.5,65.6,-5.3,2008
Fordham,A10,0.42857142857142855,101.8,100.4,.5399,48.7,50.9,20.2,20.7,31,34.1,36.1,34,48.9,50,32.2,35.5,63.6,-7.9,2008
Northeastern,CAA,0.45161290322580644,100.7,99.4,.5378,46.7,49.5,20.7,22,34.8,33.1,36.4,34.1,46.6,49,31.3,33.8,63.6,-9.3,2008
Saint_Louis,A10,0.5333333333333333,98.9,97.6,.5366,48.9,48.6,20.4,18,23.8,28.2,36.2,31.3,46.5,45.6,35.9,36.4,60.8,-5.7,2008
